

*********************** A-C **********************
account for - to explain the reason of something	How can you account for your absence at the meeting?
account to - to provide a report on money spending to someone	You will account to the financial director for the money you spend.
accuse of - to charge someone with something wrong (e.g., a crime, an offense)	He was accused of murder. They accused him of murder. He was accused of stealing money. She accused him of lying.
act on - to act in accordance with some advice or information	He acted on the tip received from an insider and made a lot of money.
act out - to illustrate or play out by actions or by gestures and words	Let's act out the second episode of the play. He acted out his meeting with the boss in a very funny way.
act up - to behave badly or in a strange manner	Her little son often acts up in public. I can't go to your party because my back is acting up again. The coffee machine is acting up again.
add to - to put something together with something else	She added a little milk to coffee. Add two to three. How much do you get?
add up - to give a reasonable result	It doesn't make sense; the facts don't add up. These figures don't add up.
agree about / on - to have the same opinion as someone else	They agree about everything. They don't always agree on the way children should be raised.
agree on - to decide on doing something	They agreed on selling the house. They agreed on a plan how to make Mr. Smith pay right away.
agree to - to consent to something	She will never agree to your plan.
agree with - 1. to have the same opinion as someone else; 2. to be in accordance with something	1. I don't agree with you about it. I don't agree with your plan. 2. Your report doesn't agree with these facts. Fried meat doesn't agree with my stomach.
answer for - 1. to answer in the name of someone; 2. to be responsible for one's own or someone else's actions	1. I'll answer for my mother. 2. He will have to answer for what he has done. Parents answer for their children's behavior.
answer to - 1. to account to, report to someone; 2. to respond to (a name)	1. You will answer to the financial director for the money you spend. 2. The dog answers to the name Spotty.
apply for - to make an application or request for something	He applied for the position of tour guide. I would like to apply for a job in engineering.
apply to - 1. to make an application or request to someone; 2. to be applicable to something; 3. to place in contact with something	1. Apply to the boss and ask for a pay raise. 2. Does this rule apply to all cases? 3. Apply this ointment to the swollen knee three times a day.
approve of - to speak favorably of someone, something	Her father doesn't approve of her boyfriend. Her mother doesn't approve of smoking.
argue about - to disagree or quarrel about something	What are they arguing about? He is always arguing about something.
argue with - to disagree or quarrel with someone	Stop arguing with me!
arrive at - 1. to come to some place in a city; 2. to come to some decision, conclusion	1. He arrived at the airport two hours before the flight. 2. I arrived at a different conclusion. How did she arrive at this strange decision?
arrive in - to come to some city; reach one's destination	They arrived in London yesterday. We arrive in Rome at 6:30 in the morning.
ask about - to ask for information about someone, something	He asked me about my relatives. He asked me about my future plans.
ask for - to request something	He asked for a cup of coffee. He asked for help.
ask for it - to ask for trouble	If you come to work late every day, you're asking for it / you're asking for trouble.
ask out - to invite someone for a date	John asked Liz out yesterday. They went to a French restaurant.
assist in / with - to help someone with something	He assisted me in my work. He assisted me with my report.
back down - to give in	He never backs down in an argument.
back into - to enter or hit by moving backwards	The car backed into a driveway. A truck backed into John's new car.
back off - 1. to move back; 2. to back down	1. The dog barked, and we backed off in a hurry. Back off, we need space! 2. Back off, Tom, it's my job!
back out - 1. to move out backwards; 2. to fail to keep a promise	1. There was not enough space to turn the car around, so I backed out. 2. It is too late to back out now. If you back out, you'll have to pay a fine.
back out of - 1. to exit some place by moving backwards; 2. to fail to keep a promise	1. The car backed out of the driveway. 2. It is too late to back out of the agreement now.
back up - 1. to block the passage; 2. to support someone, something	1. That accident backed up the traffic for hours. 2. She always backs him up. I have a lot of facts to back up my theory.
be above - 1. to be at a higher level than something; 2. to be superior (in rank, quantity, quality, moral standard)	1. The painting is above the mantelpiece. 2. The financial director is above the financial manager. The weight of this box is above 100 kilograms. He is above suspicion. He is above such trifles.
be after - 1. to be later than the specified time; 2. to try to get something; 3. to criticize someone and keep asking to do something	1. It was after eleven at night. It is ten minutes after five. 2. He doesn't love her. He is after her money. 3. His mother is after him to get a haircut.
be against - to oppose something	I am against your plan.
be ahead of - to be in front of the others; to be more advanced than the others	The leader of the car race is two miles ahead of the other cars. He is ahead of everyone in his math class. Her thinking was ahead of her time in many ways.
be around - 1. to be nearby; 2. to be still living, active, popular	1. Let's find her. She is around somewhere. 2. Is his old Uncle Peter still around? This singer has been around since I was a schoolgirl.
be away - to be out of town	Tom is away on vacation.
be back - to return	He'll be back in two hours.
be behind - 1. to be located behind; 2. to lag behind; 3. figuratively: to lie behind something	1. The yard is behind the house. 2. He is behind the other students in his group. 3. I wonder who is behind this plan. I wonder what is behind his suggestion.
be in - 1. to be present; 2. to be fashionable	1. Tom isn't in. Can you call back later? 2. High heels are in again.
be in for - to expect trouble, punishment	If you come to work late every day, you are in for trouble.
be into - to be interested in something	He is into computers. She is into jazz.
be off - 1. to be disconnected; 2. to leave	1. Yesterday electricity was off, and water was off too. 2. I must be off now.
be on - 1. to be switched on; 2. to be shown on screen	1. The light is on. She must be at home. 2. Let's watch TV. What's on?
be out - 1. to be not in; 2. to be out of fashion	1. He is out right now. He'll be back soon. 2. Miniskirts are out this year.
1. be out of - not to have; 2. be out of town - to be away	1. We are out of time. We are out of sugar. 2. He is out of town now. He'll be back in three days.
be over - to end	The day is not over yet. The war is over.
be through - to finish	No more food, thank you. I'm through.
be through - to go through something	She's been through a lot of suffering.
be through with - to finish doing something	I'm through with this work. I'm through with this book.
be up - 1. to rise; 2. to end (about time)	1. She is not up yet. The prices are up again. 2. Your time is up. Hand in your exam papers, please.
be up against - to be opposed by serious problems	Our company is up against serious attempts of hostile takeover.
be up to someone - to be someone's decision or responsibility	Would you like to go to the park or to the zoo? - It's up to you. I have to ask my father. It's up to him to decide. It's up to you to close the office every day at six.
be up to something - 1. to reach some level, degree; 2. to be able to do something; 3. to think up something tricky; to be engaged in something interesting	1. I'm up to my ears in work right now. Your report is not up to your usual standard. 2. I'm not up to doing this work right now. 3. What are you up to? What have you been up to lately?
be with - 1. to be on the same side with someone; 2. to listen to and understand someone's explanations	1. We are with you. We will help you. 2. Are you still with me? I'm afraid I'm not with you. Can you explain it again?
be within - to be inside or part of something	This park is within city limits. I'll help you if it is within my power.
beat at / on - to knock loudly on something	Why are you beating on the door?
beat out - to hit repeatedly	The drummer beat out the rhythm of the song. I'm beating my brains out over this problem!
beat into - to put in by beating	Beat the eggs into the mixture. You can't beat anything good into his head.
beat to - to get ahead of someone in something	I wanted to say it, but he beat me to it. He beat me to the finish line.
beat up - to beat	Beat up the eggs. Those guys beat him up, and he is in the hospital now.
become of - to happen to someone	What will become of him?
beg for - to ask for something	He begged for money. He begged for mercy.
begin with - to start with something	Let me begin our party with a drink to Tom's health. Begin with Chapter 3.
believe in - to have faith in someone, something	He believes in you. She believes in justice for all.
belong to - to be property of someone	This house belongs to his son. This bag belongs to me.
bend down / over - to stoop down	She bent down to pick up a penny.
bend over backwards - to make a great effort to do something	She bends over backwards to please him in everything, but he doesn't appreciate it.
benefit from / by - to do good to someone; to gain advantage or profit from something	You will benefit from a good rest at the seaside resort. As a future doctor, she benefited a lot from her hospital experience. He benefited greatly from his move to Rome.
bet on - to make a bet on something	Don't bet on this horse. He will do it, you can bet on it. No, I won't bet on it.
bet with - to have a bet with someone	I won't bet with you. You always win.
beware of - to be cautious of someone, something	Beware of the dog! Beware of what you wish.
bite into - to begin to eat	She bit into the sandwich hungrily.
bite off - to separate part of something by biting	He bit off a piece of bread and began to chew. The boss will bite my head off if I don't finish this report today.
bite on - to bite	The dog bit him on the leg.
black out - 1. to make dark so that nothing can be seen; 2. to faint, to lose consciousness	1. The lights and windows were blacked out before the air raids. He blacked out all names in that text. 2. She blacked out, fell down, and hurt her knee.
blame for - to say that someone is responsible for something wrong	She blamed him for the loss of her bag. She blamed him for losing her bag. Who is to blame for this terrible mistake?
blame on - to place the responsibility for something wrong on someone	She blamed everything on him. He blames it on her, of course. The police blamed the accident on him.
blast off - 1. to blow up; 2. to launch (a spaceship)	1. The explosion blasted off several houses. 2. The spaceship blasted off early in the morning.
bleed for - to sympathize with someone, to feel for someone	My heart bleeds for her.
bleed to death - to lose a lot of blood	He almost bled to death.
blow away - to be taken away by the wind	I dropped the newspaper, and the wind blew it away.
blow off - to let the steam escape; to reduce tension	Open the lid a little to let the steam blow off. He is quite hot-tempered and needs to blow off steam.
blow out - to stop burning by blowing	She blew out the candles one by one.
blow over - to subside, to end	When will this snowstorm blow over? Wait till his anger blows over, then talk to him. The rumors, the scandal, and your troubles will blow over soon.
blow up - to explode	The gas pipe blew up, and several people were hurt. The criminals threatened to blow up the building. When her father learned that she had dropped out of school, he blew up.
boast of / about - to brag about something	He boasted of owning the largest collection of jazz records in town.
borrow from - to take something from someone with a promise to give it back	I borrowed fifty dollars from Tom. I borrowed a bicycle from Kate.
bounce off / from - to rebound from something	The ball bounced off the wall.
break away (from) - to escape (from someone)	They caught him, but he managed to break away. He broke away from the police and escaped.
break down - 1. to become broken; 2. to go to pieces	1. My car broke down yesterday. 2. When she heard the news, she broke down and cried.
break in - 1. to enter by force; to get in by breaking the door; 2. to interrupt someone's conversation; 3. to train, to accustom	1. The robbers broke in at night. They broke in the door. 2. Please don't break in when I'm speaking with another person. 3. He is breaking in his new horse. I'm breaking in my new shoes.
break into - 1. to divide into parts by breaking; 2. enter by force; 3. to interrupt someone's conversation; 4. begin some action suddenly	1. She broke the chocolate into four pieces. 2. They broke into the house at night. 3. Why did you break into their conversation? 4. He broke into laughter. She broke into a run.
break off - to separate by breaking	She broke off a piece of chocolate. Their relationship broke off soon.
break out - to begin suddenly	The war broke out two years ago. The fire broke out in the kitchen. The flu epidemic broke out suddenly.
break through - to advance, to achieve success	The question was very difficult to solve, but finally we broke through.
break through something - to get through something	They broke through the wall at last.
break up - 1. to break something into pieces; 2. to terminate, to put an end; 3. to cease having a relationship	1. He broke up a bar of chocolate and began to eat the pieces one by one. 2. The meeting finally broke up at ten o'clock. The police broke up the fight. 3. Their marriage broke up. Tom and Liz broke up last week.
break with - to sever relations; to cease one's connection with someone or something	He broke with his family. He broke with his old friends. He broke with the past.
bring about/on - to cause to happen	The new reform will bring about a lot of changes. His actions brought on a crisis in the company finances. Rainy weather brought on her backache again.
bring along - to bring (with you) to some place	There is a nice lake there, so bring along your swimsuit. You can bring a friend along, if you want.
bring back - 1. to return; 2. to recall, to remember again	1. Please bring back my book. 2. This music brings back old memories.
bring in - to yield (crop, money, profit, income)	His job doesn't bring in much money, but it's a good place to start, and he likes it.
bring into - to cause someone to get into some state or activity	The seriousness of the situation brought him into action.
bring off - to succeed in something difficult, to achieve	Nobody thought that he would be able to bring off his plan, but he managed to do it.
bring out - 1. to reveal; 2. to make public, to publish	1. Her presence brings out the best in him. This light brings out the beauty of this gemstone. 2. He brought out a new book last year.
bring over - to bring (a guest) to someone's home	You can bring over a couple of friends to the party on Friday.
bring up - 1. raise children; 2. introduce a new topic	1. They brought up their children in Italy. 2. Max brought up this question, not I.
brush aside / brush off - to refuse to pay attention to something, to ignore	I told him about that problem, but he brushed aside my warnings. They just brushed me off, that's all.
brush up on - to review, to improve some knowledge by studying	She made quite a few mistakes on her test, so she needs to brush up on her spelling. Brush up on irregular verbs.
buckle up - to fasten the seatbelt in a car	Many people get hurt in a car accident because they forget to buckle up.
build up - to increase, to make bigger, to strengthen gradually	This huge field has been built up with new houses. Her hopes to cure the child were building up. His savings are building up. He needs to build up his English vocabulary. Take your umbrella; the clouds are building up. Every morning a traffic jam builds up on this street.
bump into - to meet someone by chance	I bumped into an old friend today.
bundle off - to send someone away in a hurry, to pack someone off	His relatives unceremoniously bundled him off back to his hometown because he was not good enough for them.
bundle up - to dress warmly, to put on more clothes for warmth	Bundle up; it's freezing outside. The child was bundled up in warm clothes.
burn down - to burn to the ground	The camp fire was burning down, so we put more wood into it. Several houses were burned down by the fire.
